graph,#vertices,#edges,density,time(ms),lambda,status,max_degree,min_degree
ash85,85,219,0.06134,900404.0,91.0,BEST FOUND,9,2
bcspwr01,39,46,0.06208,310771.0,11.0,OPTIMAL,5,1
bcspwr02,49,59,0.05017,900864.0,33.0,BEST FOUND,6,1
bcspwr03,118,179,0.02593,900505.0,58.0,BEST FOUND,9,1
bcspwr04,274,669,0.01789,901954.0,126.0,BEST FOUND,15,1
bcsstk01,48,176,0.15603,900427.0,86.0,BEST FOUND,11,4
bcsstk03,112,264,0.04247,900769.0,123.0,BEST FOUND,5,3
can___24,24,68,0.24638,903151.0,31.0,BEST FOUND,8,3
can___61,61,248,0.13552,900488.0,137.0,BEST FOUND,24,4
can___62,62,78,0.04125,902063.0,25.0,BEST FOUND,6,1
can___73,73,152,0.05784,900559.0,86.0,BEST FOUND,8,2
CELAR6-SUB0,32,223,0.4496,904582.0,84.0,BEST FOUND,25,3
CELAR6-SUB1,28,314,0.83069,901361.0,81.0,BEST FOUND,27,19
CELAR6-SUB2,32,369,0.74395,900929.0,92.0,BEST FOUND,31,15
CELAR6-SUB3,36,439,0.69683,900624.0,103.0,BEST FOUND,35,19
CELAR6-SUB4,44,499,0.52748,900653.0,121.0,BEST FOUND,36,3
ck104,104,444,0.0829,900595.0,84.0,BEST FOUND,9,5
curtis54,54,124,0.08665,900614.0,76.0,BEST FOUND,15,2
dsjc125.1,125,736,0.09497,902574.0,228.0,BEST FOUND,23,5
dsjc125.5,125,3891,0.50206,905958.0,307.0,BEST FOUND,75,51
dsjc125.9,125,6961,0.89819,904660.0,355.0,BEST FOUND,120,103
dsjr500.1,500,3555,0.0285,930230.0,201.0,BEST FOUND,25,4
dwt___59,59,104,0.06078,901826.0,19.0,BEST FOUND,5,1
dwt___66,66,127,0.05921,900911.0,70.0,BEST FOUND,5,1
dwt___72,72,75,0.02934,901009.0,25.0,BEST FOUND,4,1
dwt___87,87,227,0.06068,900498.0,76.0,BEST FOUND,12,1
fidap005,27,126,0.35897,901109.0,50.0,BEST FOUND,14,5
ibm32,32,90,0.18145,900627.0,49.0,BEST FOUND,11,3
impcol_b,59,281,0.16423,900413.0,126.0,BEST FOUND,17,2
jgl009,9,32,0.88889,22097.0,21.0,OPTIMAL,8,5
jgl011,11,49,0.89091,922646.0,29.0,BEST FOUND,10,4
olm100,100,197,0.0398,900557.0,297.0,BEST FOUND,5,2
pores_1,30,103,0.23678,901073.0,51.0,BEST FOUND,9,5
r125.1,122,209,0.02832,905407.0,32.0,BEST FOUND,8,1
r125.1c,125,7501,0.96787,161173.0,369.0,OPTIMAL,124,113
r125.5,125,3838,0.49523,902719.0,311.0,BEST FOUND,99,23
r250.1,250,867,0.02786,900987.0,92.0,BEST FOUND,13,1
rgg010,10,45,1.0,413981.0,27.0,OPTIMAL,9,9
rw136,136,373,0.04063,900578.0,192.0,BEST FOUND,7,2
scen01,916,5548,0.01324,709924.0,371.0,OPTIMAL,61,1
scen02,200,1235,0.06206,911098.0,254.0,BEST FOUND,44,1
scen03,400,2760,0.03459,922756.0,356.0,BEST FOUND,61,3
scen04,680,3967,0.01718,939388.0,373.0,BEST FOUND,62,1
scen05,400,2598,0.03256,912796.0,353.0,BEST FOUND,59,1
scen06,200,1322,0.06643,905021.0,255.0,BEST FOUND,44,1
scen07,400,2865,0.0359,926134.0,365.0,BEST FOUND,62,3
scen08,916,5744,0.01371,991142.0,374.0,BEST FOUND,62,1
scen09,680,4103,0.01777,282056.0,374.0,OPTIMAL,62,1
scen10,680,4103,0.01777,282756.0,374.0,OPTIMAL,62,1
scen11,680,4103,0.01777,1038306.0,374.0,BEST FOUND,62,1
tub100,100,148,0.0299,346110.0,9.0,OPTIMAL,3,2
will57,57,127,0.07957,902771.0,51.0,BEST FOUND,10,1